,mean_H,mean_S,mean_V,stddev_H,stddev_S,stddev_V,entropy_H,entropy_S,entropy_V,Skew_H,Skew_S,Skew_V,Kurtosis_H,Kurtosis_S,Kurtosis_V,label,Color Code,Ripeness Code,Uniformity Code
IMG_20170620_152156.jpg,103.56761174860827,142.80974403990064,189.8055774708765,1.6425807069286824,24.37110571803379,29.697981968634828,1.9306103535195156,4.612016045137391,4.7594569583286646,-3.5883346232635662,0.8960649140711753,-1.3395693437799774,308.81227288486286,2.421134255231295,3.831926587786654,,2,R,W
IMG_20170620_152215.jpg,103.67108287506444,146.81511787730372,182.23816393658183,2.1413226948802406,29.3794660147773,34.43858222426644,2.189248918540658,4.798952075288577,4.898308219920366,-7.695545999963767,1.00008908061257,-1.205104203451292,469.19655294243074,2.0604812695964103,2.8012668958402056,,2,R,W
IMG_20170620_152225.jpg,103.84071974579096,150.19276358272535,185.2266473269384,2.5425987387856654,28.34099326306647,35.09016339296267,2.3582448747437734,4.762603382177538,4.901106071796807,-11.733744186013334,1.0033759526167754,-1.371201108962273,624.421399711868,2.1586582740968563,3.504423075281788,,2,R,W
IMG_20170620_152228.jpg,103.98065050748072,149.01946690764842,182.58516079444558,2.2971187239423934,29.95090176067395,35.12001965079912,2.2582094832925006,4.816922457407685,4.911528694427884,-4.801097656833283,1.0058944013402975,-1.1905134189701314,367.97242909187196,1.9106941973678033,2.6142584245119878,,2,R,W
IMG_20170620_152239.jpg,103.79152663102064,152.00626629002693,183.6930241255136,2.9047461282604723,29.601877865500683,36.79308566612591,2.49039029037941,4.804908083509424,4.940786091213158,-16.730546207800852,1.0412804445963848,-1.4625670270283055,641.6291013471991,2.162623139017666,3.577724665134345,,2,R,W
IMG_20170620_152243.jpg,103.80730509251303,151.0235604888896,181.8414311529108,3.503427946051777,30.364436916756826,37.582652683871906,2.6757592772009593,4.830256038410196,4.963356692188548,-19.350396744161845,0.9767995563278004,-1.3180086844442727,586.6990235712803,2.1399956625038445,2.865735248639572,,2,R,W
IMG_20170620_152253.jpg,103.66421657175815,148.86094948561922,186.9548777645852,3.18457971435944,27.407145003008406,34.274098274592355,2.5811519994862944,4.729601725981407,4.8773223428513,-19.850352609073013,0.9575448767195983,-1.3864275843269314,681.9425927408225,2.585313396790342,3.7624539265405756,,2,R,W
IMG_20170620_152256.jpg,103.74041589854552,149.518966977951,183.93456478450946,2.464182902528217,28.43847077763918,33.71159664533007,2.3275127822599164,4.765952936152837,4.876168078674557,-13.093689463951698,0.9591401415252182,-1.2051097351290219,653.7766972108725,2.0453910442567285,2.8872957609685717,,2,R,W
IMG_20170620_152307.jpg,103.76777679701293,147.27668749056122,185.61085916628912,3.101735112654332,29.100837298144683,34.988815450342976,2.5552273415952698,4.789090070073736,4.897203707715964,-19.360116861968255,1.0072535042271558,-1.422149499389606,673.2891077008429,2.3315795802930177,3.781738772890522,,2,R,W
IMG_20170620_152311.jpg,103.74753062069396,148.28642204286376,181.2455726440813,2.1138880627553314,28.49452726426782,34.01924913120872,2.176624026788392,4.768062220505288,4.892036154433168,-8.825887484228781,1.0180350567273233,-1.1782557846561623,536.3531897565973,2.215003070524042,2.7702927141657083,,2,R,W
IMG_20170620_152328.jpg,103.541975135658,143.32981616842943,190.95370703078214,1.9245312432084134,27.677413328217295,31.037711982251288,2.084846771537342,4.739363752984249,4.788636692292861,-12.985079032687393,0.9133687306868005,-1.4123812154818942,810.782019880602,2.269681980576994,4.155889494192811,,2,R,W
IMG_20170620_152331.jpg,103.47919050771506,143.41914613569966,186.50670039239273,1.4950092742371304,26.449943873425422,29.99697231377711,1.8398526510782682,4.693707293936555,4.77784030193379,-0.1616687097434647,0.9274002007024204,-1.0377386602107994,139.54478467735697,2.249305745578992,2.4318138811037286,,2,R,W
IMG_20170620_152343.jpg,103.85085471379026,148.42760002499648,181.89405241515516,3.000543987698566,31.209861439028085,37.62628486618329,2.5220835577517002,4.857794235342279,4.964108676672168,-14.018493747216036,1.0622969791999495,-1.3142671416222889,536.7867903969696,1.9568479581263434,2.816098396615378,,2,C,M
IMG_20170620_152346.jpg,103.709935809808,148.66407783801236,180.54760658657378,2.5472649248565284,29.719483935420648,36.527216509309234,2.3605627771099877,4.809222767997262,4.9477390909294785,-12.014189957479852,1.097330843242128,-1.213886053252128,568.3842085897917,2.2241511113951393,2.6574761655675427,,2,C,M
